ID,Genus,Species,Sex,Place,Date,IT,Weigth..g.,Head.weight..g.,Plant,Brain.Weight..mg.,No.optic.lobes.weight,Country,Notes
OC58,Osmia,Osmia cornuta,Female,Mauerbienen,,3.541,NA,NA,,NA,NA,Germany,
OC59,Osmia,Osmia cornuta,Female,Mauerbienen,,3.506,NA,NA,,NA,NA,Germany,
OC60,Osmia,Osmia cornuta,Female,Mauerbienen,,3.768,NA,NA,,2.296,1.248,Germany,
OC61,Osmia,Osmia cornuta,Female,Mauerbienen,,3.613,NA,NA,,1.939,0.779,Germany,
OC62,Osmia,Osmia cornuta,Female,Mauerbienen,,3.891,NA,NA,,2.472,1.093,Germany,
OC63,Osmia,Osmia cornuta,Female,Mauerbienen,,3.485,NA,NA,,NA,NA,Germany,
OC64,Osmia,Osmia cornuta,Female,Mauerbienen,,3.337,NA,NA,,1.701,0.702,Germany,
OC65,Osmia,Osmia cornuta,Male,Mauerbienen,,3.379,NA,NA,,2.198,1.104,Germany,
OC66,Osmia,Osmia cornuta,NA,Mauerbienen,,NA,NA,NA,,NA,NA,Germany,
OC67,Osmia,Osmia cornuta,Male,Mauerbienen,,3.107,NA,NA,,NA,NA,Germany,
OC68,Osmia,Osmia cornuta,Male,Mauerbienen,,NA,NA,NA,,NA,NA,Germany,
OC69,Osmia,Osmia cornuta,NA,Mauerbienen,,3.421,NA,NA,,2.322,1.246,Germany,
OC70,Osmia,Osmia cornuta,Female,Mauerbienen,,3.563,NA,NA,,NA,NA,Germany,
OC71,Osmia,Osmia cornuta,Female,Mauerbienen,,3.694,NA,NA,,2.304,1.047,Germany,
OC72,Osmia,Osmia cornuta,Female,Mauerbienen,,3.587,NA,NA,,1.482,0.692,Germany,
OC73,Osmia,Osmia cornuta,Female,Mauerbienen,,3.761,NA,NA,,2.643,1.084,Germany,
OC74,Osmia,Osmia cornuta,Female,Mauerbienen,,3.553,NA,NA,,NA,0.835,Germany,
OC75,Osmia,Osmia cornuta,Female,Mauerbienen,,3.596,NA,NA,,1.885,1.028,Germany,
OC76,Osmia,Osmia cornuta,Male,Mauerbienen,,2.873,NA,NA,,1.223,0.611,Germany,
OC77,Osmia,Osmia cornuta,Male,Mauerbienen,,2.812,NA,NA,,1.874,0.83,Germany,
OC78,Osmia,Osmia cornuta,Male,Mauerbienen,,2.838,NA,NA,,1.695,NA,Germany,
OC79,Osmia,Osmia cornuta,Female,Mauerbienen,,3.242,NA,NA,,1.506,NA,Germany,
OC80,Osmia,Osmia cornuta,Female,Mauerbienen,,NA,NA,NA,,NA,NA,Germany,
OC81,Osmia,Osmia cornuta,Female,Mauerbienen,,3.372,NA,NA,,NA,NA,Germany,
OC82,Osmia,Osmia cornuta,Female,Mauerbienen,,3.343,NA,NA,,1.594,0.823,Germany,
OC83,Osmia,Osmia cornuta,Female,Mauerbienen,,3.557,NA,NA,,1.668,0.828,Germany,
OC84,Osmia,Osmia cornuta,Female,Mauerbienen,,3.566,NA,NA,,1.531,0.82,Germany,
OC85,Osmia,Osmia cornuta,Female,Mauerbienen,,3.718,NA,NA,,1.387,0.753,Germany,
OC86,Osmia,Osmia cornuta,Female,Mauerbienen,,3.259,NA,NA,,NA,NA,Germany,
OC87,Osmia,Osmia cornuta,Female,Mauerbienen,,3.633,NA,NA,,1.73,0.922,Germany,
OC88,Osmia,Osmia cornuta,Female,Mauerbienen,,3.608,NA,NA,,NA,NA,Germany,
OC89,Osmia,Osmia cornuta,Female,Mauerbienen,,NA,NA,NA,,NA,NA,Germany,
OC90,Osmia,Osmia cornuta,Female,Mauerbienen,,3.628,NA,NA,,1.813,0.684,Germany,
OC91,Osmia,Osmia cornuta,Female,Mauerbienen,,3.304,NA,NA,,1.587,0.824,Germany,
